,X,Y,Z,Cluster,ClusterZ
126938,-7.688749970712899,33.5204167253752,5044.6796875,0,3
126939,-7.6804166374128995,33.5204167253752,5978.51171875,0,3
126940,-7.672083304112901,33.5204167253752,9061.74609375,0,3
126941,-7.6637499708128995,33.5204167253752,10692.6474609375,0,3
126942,-7.655416637512899,33.5204167253752,13391.12890625,2,2
126943,-7.6470833042129,33.5204167253752,12828.1416015625,2,2
126944,-7.638749970912899,33.5204167253752,7541.01220703125,0,3
126945,-7.630416637612899,33.5204167253752,7173.58740234375,0,3
126946,-7.622083304312899,33.5204167253752,5751.9013671875,0,3
126947,-7.613749971012899,33.5204167253752,4428.52294921875,3,0
126948,-7.605416637712899,33.5204167253752,3618.923095703125,3,0
126949,-7.597083304412899,33.5204167253752,3470.723388671875,3,0
126950,-7.588749971112899,33.5204167253752,3618.565673828125,3,0
126951,-7.580416637812899,33.5204167253752,5061.482421875,0,3
126952,-7.5720833045128995,33.5204167253752,7092.6015625,0,3
126953,-7.563749971212901,33.5204167253752,8955.4677734375,0,3
126954,-7.5554166379128995,33.5204167253752,5852.48583984375,0,3
126955,-7.5470833046129,33.5204167253752,2908.685546875,3,0
126956,-7.5387499713129,33.5204167253752,1387.8914794921875,3,0
126957,-7.530416638012899,33.5204167253752,3413.662841796875,3,0
126958,-7.522083304712899,33.5204167253752,4698.5400390625,3,0
126959,-7.513749971412899,33.5204167253752,2552.751953125,3,0
126960,-7.505416638112899,33.5204167253752,2627.642578125,3,0
126961,-7.497083304812899,33.5204167253752,2489.513427734375,3,0
126962,-7.488749971512899,33.5204167253752,857.3482666015625,3,0
126963,-7.480416638212899,33.5204167253752,375.2461853027344,3,0
126964,-7.472083304912899,33.5204167253752,175.2989044189453,3,0
126965,-7.463749971612899,33.5204167253752,73.19937896728516,3,0
126966,-7.455416638312901,33.5204167253752,43.9456787109375,3,0
126967,-7.4470833050128995,33.5204167253752,54.26359939575195,3,0
126968,-7.438749971712901,33.5204167253752,97.6513214111328,3,0
126969,-7.4304166384129,33.5204167253752,128.9576416015625,3,0
126970,-7.422083305112899,33.5204167253752,166.60568237304688,3,0
126971,-7.4137499718129,33.5204167253752,124.0384521484375,3,0
127685,-7.738749970512899,33.5120833920752,459.9192810058594,3,0
127686,-7.730416637212899,33.5120833920752,604.095947265625,3,0
127687,-7.722083303912899,33.5120833920752,1470.762939453125,3,0
127688,-7.713749970612899,33.5120833920752,4928.31982421875,0,3
127689,-7.705416637312899,33.5120833920752,4933.2548828125,0,3
127690,-7.697083304012899,33.5120833920752,1860.5177001953125,3,0
127691,-7.688749970712899,33.5120833920752,1591.8505859375,3,0
127692,-7.6804166374128995,33.5120833920752,3796.239501953125,3,0
127693,-7.672083304112901,33.5120833920752,7423.72705078125,0,3
127694,-7.6637499708128995,33.5120833920752,8612.818359375,0,3
127695,-7.655416637512899,33.5120833920752,8782.3525390625,0,3
127696,-7.6470833042129,33.5120833920752,5688.2783203125,0,3
127697,-7.638749970912899,33.5120833920752,5370.2685546875,0,3
127698,-7.630416637612899,33.5120833920752,7696.69189453125,0,3
127699,-7.622083304312899,33.5120833920752,4794.47119140625,3,3
127700,-7.613749971012899,33.5120833920752,3143.950439453125,3,0
127701,-7.605416637712899,33.5120833920752,2769.104248046875,3,0
127702,-7.597083304412899,33.5120833920752,4067.214111328125,3,0
127703,-7.588749971112899,33.5120833920752,4497.107421875,3,0
127704,-7.580416637812899,33.5120833920752,2375.789306640625,3,0
127705,-7.5720833045128995,33.5120833920752,3297.794921875,3,0
127706,-7.563749971212901,33.5120833920752,3258.67138671875,3,0
